date,title,source,media_name,ideology,Congress
14/01/2021,â€˜2020 Has Been a Wake-Up Callâ€™: Reflections on Our Civil Conversation Challenge; Contests,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/_2020 Has Been a Wake-Up Call__ Reflections on Our Civil Conversation Challenge Contests.docx,The New York Times,left,117th
01/06/2021,"â€˜Contested, Heated Culture Warsâ€™ Mark Ultraconservative Texas Session","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/_Contested, Heated Culture Wars_ Mark Ultraconservative Texas Session.docx",The New York Times,left,117th
13/07/2021,â€˜Have you no shame?â€™ Biden frames voting rights as a moral reckoning.,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/_Have you no shame__ Biden frames voting rights as a moral reckoning.docx,The New York Times,left,117th
26/08/2020,â€˜I Fear That We Are Witnessing the End of American Democracyâ€™,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/_I Fear That We Are Witnessing the End of American Democracy_.docx,The New York Times,left,116th
15/01/2021,â€˜Stop the Stealâ€™ Didnâ€™t Start With Trump,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/_Stop the Steal_ Didn_t Start With Trump.docx,The New York Times,left,117th
07/10/2021,3 Crucial Races for Democrats As G.O.P. Pushes Election Laws,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/3 Crucial Races for Democrats As G.O.P. Pushes Election Laws.docx,The New York Times,left,117th
08/06/2019,"3 New Policies From the 2020 Democrats: Policing, L.G.B.T. Rights and Voting Rights","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/3 New Policies From the 2020 Democrats_ Policing, L.G.B.T. Rights and Voting Rights.docx",The New York Times,left,116th
23/07/2021,"81 Percent Of 2,000 Recent Grads Wish They Were Taught More Life Skills Before Graduating; CNN Only Covers Crime If It Puts Them In The Center Of The Action Or If It Implicates The Cops; 61-Year-Old Disabled Woman Was Attacked On The Street By Four People In Manhattan; Gutfeld On Vaccination As A Requirement; Gutfeld On Politician's Rage Boosting Supporter Motivation","C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/81 Percent Of 2,000 Recent Grads Wish They Were Taught More Life Skills Before Graduating; CNN Only.docx",Fox News,right,117th
24/08/2021,A 50/50 Chance Gov. Gavin Newsom Is Recalled Next Month In California; Supreme Court Says Trump's Remain In Mexico Border Policy Must Be Reinstated; China Is Taking Keen Interest In Assisting With Taliban Reconstruction Efforts; Democrats Want Access To Lawmakers' Phone Records; Interview With Rep. Jim Banks (R-IN); Big Tech's Influence On D.C. Non- Profits; Joe Biden Has Reshaped The Federal Court System,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/A 50_50 Chance Gov. Gavin Newsom Is Recalled Next Month In California ; Supreme Court Says Trump's R.docx,Fox News,right,117th
24/06/2021,A Bill Destined to Fail Could Open Up a Path For One That Succeeds,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/A Bill Destined to Fail Could Open Up a Path For One That Succeeds.docx,The New York Times,left,117th
23/06/2021,A Bill Destined to Fail May Now Spawn More Plausible Options; News analysis,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/A Bill Destined to Fail May Now Spawn More Plausible Options News analysis.docx,The New York Times,left,117th
18/08/2020,A Century of Suffrage,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/A Century of Suffrage.docx,The New York Times,left,116th
15/09/2021,A Covid Referendum; The Morning Newsletter,C:/Users/2146806A/OneDrive - University of Glasgow/University of Glasgow/Amsterdam Visit/March_analysis/files_19-22/A Covid Referendum The Morning Newsletter.docx,The New York Times,left,117th
